time_ms,neuron_id
883,122
905,122
927,122
949,122
972,122
996,122
1019,122
1044,122
1068,122
1093,122
1118,122
1143,122
1168,122
1194,122
1220,122
1245,122
1271,122
1298,122
1324,122
1350,122
1376,122
1403,122
1429,122
1456,122
1483,122
1509,122
1536,122
1563,122
2501,122
2533,122
2549,122
2565,122
2581,122
2598,122
2616,122
2634,122
2653,122
2672,122
2692,122
2713,122
2734,122
2755,122
2777,122
2800,122
2823,122
2846,122
2870,122
2894,122
2918,122
2943,122
2968,122
2993,122
3018,122
3044,122
3070,122
3096,122
3122,122
3148,122
3174,122
3200,122
3227,122
3253,122
3279,122
3306,122
3333,122
3359,122
3386,122
3413,122
3439,122
4377,122
4410,122
4425,122
4441,122
4458,122
4475,122
4492,122
4510,122
4529,122
4549,122
4569,122
4589,122
4610,122
4632,122
4654,122
4676,122
4699,122
4722,122
4746,122
4770,122
4795,122
4819,122
4844,122
4869,122
4895,122
4920,122
4946,122
4972,122
4998,122
5024,122
5050,122
5077,122
5103,122
5129,122
5156,122
5182,122
5209,122
5236,122
5262,122
5289,122
5316,122
6254,122
6286,122
6302,122
6318,122
6334,122
6351,122
6369,122
6387,122
6406,122
6425,122
6445,122
6466,122
6487,122
6508,122
6530,122
6553,122
6576,122
6599,122
6623,122
6647,122
6671,122
6696,122
6721,122
6746,122
6771,122
6797,122
6823,122
6848,122
6874,122
6901,122
6927,122
6953,122
6979,122
7006,122
7032,122
7059,122
7085,122
7112,122
7139,122
7165,122
7192,122
8130,122
8163,122
8178,122
8194,122
8211,122
8228,122
8245,122
8263,122
8282,122
8302,122
8322,122
8342,122
8363,122
8385,122
8407,122
8429,122
8452,122
8475,122
8499,122
8523,122
8547,122
8572,122
8597,122
8622,122
8648,122
8673,122
8699,122
8725,122
8751,122
8777,122
8803,122
8829,122
8856,122
8882,122
8909,122
8935,122
8962,122
8989,122
9015,122
9042,122
9069,122
10007,122
10039,122
17,23
32,23
47,23
62,23
78,23
95,23
112,23
129,23
148,23
167,23
186,23
206,23
227,23
248,23
269,23
291,23
314,23
337,23
360,23
384,23
408,23
433,23
457,23
482,23
507,23
533,23
558,23
584,23
610,23
636,23
1563,23
1595,23
1611,23
1627,23
1643,23
1660,23
1678,23
1696,23
1715,23
1734,23
1754,23
1775,23
1796,23
1817,23
1839,23
1862,23
1885,23
1908,23
1932,23
1956,23
1980,23
2005,23
2030,23
2055,23
2080,23
2106,23
2132,23
2158,23
2184,23
2210,23
2236,23
2262,23
2289,23
2315,23
2341,23
2368,23
2395,23
2421,23
2448,23
2475,23
2501,23
3440,23
3472,23
3487,23
3503,23
3520,23
3537,23
3554,23
3573,23
3591,23
3611,23
3631,23
3651,23
3672,23
3694,23
3716,23
3738,23
3761,23
3784,23
3808,23
3832,23
3857,23
3881,23
3906,23
3931,23
3957,23
3982,23
4008,23
4034,23
4060,23
4086,23
4112,23
4139,23
4165,23
4191,23
4218,23
4245,23
4271,23
4298,23
4324,23
4351,23
4378,23
5316,23
5348,23
5364,23
5380,23
5396,23
5413,23
5431,23
5449,23
5468,23
5487,23
5507,23
5528,23
5549,23
5570,23
5592,23
5615,23
5637,23
5661,23
5685,23
5709,23
5733,23
5758,23
5783,23
5808,23
5833,23
5859,23
5885,23
5910,23
5936,23
5963,23
5989,23
6015,23
6041,23
6068,23
6094,23
6121,23
6147,23
6174,23
6201,23
